participantid_in_session,participantcode,participantlabel,participant_is_bot,participant_index_in_pages,participant_max_page_index,participant_current_app_name,participant_current_page_name,participanttime_started_utc,participantvisited,participantmturk_worker_id,participantmturk_assignment_id,participantpayoff,participantprolific_id,sessioncode,sessionlabel,sessionmturk_hitid,sessionmturk_hitgroupid,sessioncomment,sessionis_demo,sessionconfigreal_world_currency,sessionconfigname,sessionconfigparticipation_fee,pre1playerid_in_group,pre1playerrole,pre1playerpayoff,pre1playerconsent,pre1playerattention_check_num,pre1playerattention_check_num2,pre1playerattention_check_num3,pre1playerattention_check,pre1playerattention_check2,pre1playerattention_check3,pre1groupid_in_subsession,pre1subsessionround_number,main1playerid_in_group,main1playerrole,main1playerpayoff,main1playerstated_amount,main1playerthreshold_integer,main1playerbriefing_correct_amou,main1playerbriefing_1,main1playerbriefing_2,main1playerbriefing_3,main1playerbriefing_4,main1playerbriefing_5,main1playerbriefing_6,main1playerbriefing_7,main1playerbriefing_8,main1playerbriefing_9,main1playerbriefing_10,main1playerbriefing_11,main1playerbriefing_12,main1playerbriefing_13,main1playerbriefing_14,main1playerbriefing_15,main1playermisreport_reason,main1playeraccept_next_experimen,main1playerprefer,main1playerpainter,main1groupid_in_subsession,main1subsessionround_number,end1playerid_in_group,end1playerrole,end1playerpayoff,end1groupid_in_subsession,end1subsessionround_number,end21playerid_in_group,end21playerrole,end21playerpayoff,end21groupid_in_subsession,end21subsessionround_number,session
65,4jvi7wt0,5e39e1e2c8aeb01fe7aca4b6,0,19,20,end,End,2025-12-18 18:10:17.602663,1,,,2,5e39e1e2c8aeb01fe7aca4b6,jax0jask,,,,,0,1,your_experiment,0,220,,0,1,63,61,81,63,,,1,1,220,,2,10,8,7,2,1,3,1,3,5,3,4,8,8,8,8,8,8,8,,,Left,,1,1,220,,0,1,1,220,,0,1,1,1000 sample
66,05vdkwog,60af66f00fca908c1fe688af,0,19,20,end,End,2025-12-18 18:10:23.719085,1,,,1.5,60af66f00fca908c1fe688af,jax0jask,,,,,0,1,your_experiment,0,223,,0,1,36,81,44,36,,,1,1,223,,1.5,9,8,5,2,1,3,2,3,3,3,1,8,8,8,8,8,8,8,,,Right,,1,1,223,,0,1,1,223,,0,1,1,1000 sample
67,3oeu3uwd,5c1575e62a407b0001ff2a4c,0,19,20,end,End,2025-12-18 18:10:25.382591,1,,,1.5,5c1575e62a407b0001ff2a4c,jax0jask,,,,,0,1,your_experiment,0,227,,0,1,54,8,28,54,,,1,1,227,,1.5,9,8,4,3,3,3,1,3,1,3,5,4,4,8,8,8,8,8,,,Right,,1,1,227,,0,1,1,227,,0,1,1,1000 sample
68,20bgeg10,6713a6a34b872f10e42e1502,0,19,20,end,End,2025-12-18 18:10:30.261481,1,,,3,6713a6a34b872f10e42e1502,jax0jask,,,,,0,1,your_experiment,0,229,,0,1,88,48,23,88,,,1,1,229,,3,15,8,7,2,1,3,1,3,3,3,2,6,4,8,2,8,8,8,,,Left,,1,1,229,,0,1,1,229,,0,1,1,1000 sample
69,m6ycos53,5f66cd05ac166d1a77c917af,0,19,20,end,End,2025-12-18 18:10:39.241412,1,,,1.5,5f66cd05ac166d1a77c917af,jax0jask,,,,,0,1,your_experiment,0,234,,0,1,70,8,53,70,,,1,1,234,,1.5,9,8,6,2,1,1,1,3,1,3,6,6,2,6,2,2,4,1,,,Right,,1,1,234,,0,1,1,234,,0,1,1,1000 sample
70,gxyj75vg,66621e083b8f136c93a4e7b5,0,19,20,end,End,2025-12-18 18:11:15.369857,1,,,2,66621e083b8f136c93a4e7b5,jax0jask,,,,,0,1,your_experiment,0,248,,0,1,41,32,12,41,,,1,1,248,,2,10,8,4,2,3,3,1,3,3,8,8,8,8,8,8,8,8,8,,,Right,,1,1,248,,0,1,1,248,,0,1,1,1000 sample
71,nceoibab,5a9dd20b4eecca0001dd9f1d,0,19,20,end,End,2025-12-18 18:11:27.361301,1,,,2.5,5a9dd20b4eecca0001dd9f1d,jax0jask,,,,,0,1,your_experiment,0,255,,0,1,56,50,32,56,,,1,1,255,,2.5,11,8,5,2,1,3,1,3,1,8,8,8,8,8,8,8,8,8,,,Right,,1,1,255,,0,1,1,255,,0,1,1,1000 sample
72,ju9o9gmh,5987bfb80e411a0001d83837,0,19,20,end,End,2025-12-18 18:11:34.581270,1,,,3,5987bfb80e411a0001d83837,jax0jask,,,,,0,1,your_experiment,0,258,,0,1,98,61,81,98,,,1,1,258,,3,12,8,8,2,1,3,1,3,5,3,4,8,2,4,2,5,7,2,,,Right,,1,1,258,,0,1,1,258,,0,1,1,1000 sample
73,wifxmfau,5a70b6b882968f0001a6b12f,0,19,20,end,End,2025-12-18 18:11:38.364570,1,,,3,5a70b6b882968f0001a6b12f,jax0jask,,,,,0,1,your_experiment,0,261,,0,1,72,90,25,72,,,1,1,261,,3,15,8,6,2,1,3,1,3,3,3,8,8,8,8,8,8,8,8,,,Right,,1,1,261,,0,1,1,261,,0,1,1,1000 sample
74,nwymjz8k,66a25e5e4fdc72746dd2012d,0,19,20,end,End,2025-12-18 18:11:39.240563,1,,,3,66a25e5e4fdc72746dd2012d,jax0jask,,,,,0,1,your_experiment,0,262,,0,1,75,5,53,75,,,1,1,262,,3,12,8,4,2,2,3,1,3,3,5,2,8,8,8,8,8,8,8,,,Right,,1,1,262,,0,1,1,262,,0,1,1,1000 sample
75,8ubq0nyq,5b68c9eb87af310001584803,0,19,20,end,End,2025-12-18 18:11:46.182395,1,,,3,5b68c9eb87af310001584803,jax0jask,,,,,0,1,your_experiment,0,264,,0,1,47,87,10,47,,,1,1,264,,3,12,8,7,2,3,1,1,3,3,3,3,6,7,2,2,5,6,8,,,Left,,1,1,264,,0,1,1,264,,0,1,1,1000 sample
76,rkvevuhc,634dea65bc23c5085bbec949,0,19,20,end,End,2025-12-18 18:11:58.617179,1,,,1.5,634dea65bc23c5085bbec949,jax0jask,,,,,0,1,your_experiment,0,269,,0,1,20,42,27,20,,,1,1,269,,1.5,9,8,7,2,1,3,1,3,1,3,5,6,1,8,8,8,8,8,,,Left,,1,1,269,,0,1,1,269,,0,1,1,1000 sample
77,tiue6mqr,5f25e860dd98342ce97e7403,0,19,20,end,End,2025-12-18 18:11:59.681625,1,,,3,5f25e860dd98342ce97e7403,jax0jask,,,,,0,1,your_experiment,0,271,,0,1,7,35,90,7,,,1,1,271,,3,12,8,9,2,3,3,1,3,1,3,4,3,8,3,6,5,6,4,,,Left,,1,1,271,,0,1,1,271,,0,1,1,1000 sample
78,cu2eyw5r,6575c4ea606a4f38b29e4e5d,0,19,20,end,End,2025-12-18 18:12:02.712614,1,,,1.5,6575c4ea606a4f38b29e4e5d,jax0jask,,,,,0,1,your_experiment,0,272,,0,1,73,44,38,73,,,1,1,272,,1.5,9,8,6,2,1,2,1,3,3,3,4,8,8,8,8,8,8,8,,,Right,,1,1,272,,0,1,1,272,,0,1,1,1000 sample
79,5hil27b4,5fb3eee93064870009d4ed30,0,19,20,end,End,2025-12-18 18:12:08.008406,1,,,2,5fb3eee93064870009d4ed30,jax0jask,,,,,0,1,your_experiment,0,274,,0,1,20,7,77,20,,,1,1,274,,2,10,8,5,2,4,3,1,3,3,5,2,7,4,5,8,8,8,8,,,Right,,1,1,274,,0,1,1,274,,0,1,1,1000 sample
80,psxhvio3,56de005e6893b5000ce95d71,0,19,20,end,End,2025-12-18 18:12:21.111084,1,,,3,56de005e6893b5000ce95d71,jax0jask,,,,,0,1,your_experiment,0,280,,0,1,30,51,61,30,,,1,1,280,,3,14,8,7,2,1,3,2,3,3,5,4,6,4,5,2,7,7,8,,,Right,,1,1,280,,0,1,1,280,,0,1,1,1000 sample
81,dbkhht62,5d34862748bf98000146b64f,0,19,20,end,End,2025-12-18 18:12:21.267653,1,,,2.5,5d34862748bf98000146b64f,jax0jask,,,,,0,1,your_experiment,0,281,,0,1,40,63,6,40,,,1,1,281,,2.5,11,8,9,2,1,3,1,3,3,3,4,6,3,5,8,8,8,8,,,Right,,1,1,281,,0,1,1,281,,0,1,1,1000 sample
82,3jzohvgk,5d78d57c8f579d001518e74f,0,19,20,end,End,2025-12-18 18:12:31.342051,1,,,3,5d78d57c8f579d001518e74f,jax0jask,,,,,0,1,your_experiment,0,286,,0,1,40,36,2,40,,,1,1,286,,3,15,8,2,2,4,2,4,3,6,7,7,3,2,7,7,3,8,7,,,Right,,1,1,286,,0,1,1,286,,0,1,1,1000 sample
83,1opxqg4h,66fd4b51cb041accd82a7740,0,19,20,end,End,2025-12-18 18:12:43.866499,1,,,3,66fd4b51cb041accd82a7740,jax0jask,,,,,0,1,your_experiment,0,291,,0,1,29,38,73,29,,,1,1,291,,3,12,8,4,2,2,3,1,3,3,7,2,7,3,3,3,2,3,8,,,Right,,1,1,291,,0,1,1,291,,0,1,1,1000 sample
84,2sq1ue8k,5f01def2c01707337e700c80,0,19,20,end,End,2025-12-18 18:12:53.582300,1,,,2.5,5f01def2c01707337e700c80,jax0jask,,,,,0,1,your_experiment,0,296,,0,1,28,78,2,28,,,1,1,296,,2.5,11,8,7,2,3,3,1,3,1,3,2,6,7,7,1,7,8,3,,,Left,,1,1,296,,0,1,1,296,,0,1,1,1000 sample
85,0a8x2jb1,612faedae9ff56b775e3cee5,0,19,20,end,End,2025-12-18 18:12:55.720698,1,,,3,612faedae9ff56b775e3cee5,jax0jask,,,,,0,1,your_experiment,0,297,,0,1,28,46,79,28,,,1,1,297,,3,13,8,7,2,1,3,1,3,3,3,5,7,7,7,2,7,8,8,,,Right,,1,1,297,,0,1,1,297,,0,1,1,1000 sample
86,3imrabsc,5bfe0d18e373c90001b57c71,0,19,20,end,End,2025-12-18 18:13:04.480203,1,,,3,5bfe0d18e373c90001b57c71,jax0jask,,,,,0,1,your_experiment,0,303,,0,1,39,19,85,39,,,1,1,303,,3,12,8,7,2,3,3,1,3,1,3,4,6,8,8,8,8,8,8,,,Left,,1,1,303,,0,1,1,303,,0,1,1,1000 sample
87,w39e4ze5,67ddd07cab0ce75e431cc112,0,19,20,end,End,2025-12-18 18:13:07.916667,1,,,2,67ddd07cab0ce75e431cc112,jax0jask,,,,,0,1,your_experiment,0,304,,0,1,20,68,60,20,,,1,1,304,,2,10,8,6,2,1,3,1,3,3,2,4,8,8,8,8,8,8,8,,,Left,,1,1,304,,0,1,1,304,,0,1,1,1000 sample
88,7th3fd5f,672541915a9a5ac8b878a28e,0,19,20,end,End,2025-12-18 18:13:15.241690,1,,,1.5,672541915a9a5ac8b878a28e,jax0jask,,,,,0,1,your_experiment,0,306,,0,1,46,27,7,46,,,1,1,306,,1.5,9,8,7,2,1,3,1,3,3,3,4,8,8,8,8,8,8,8,,,Left,,1,1,306,,0,1,1,306,,0,1,1,1000 sample
89,yh6wjxnr,5a5c871aac5624000153f89e,0,19,20,end,End,2025-12-18 18:13:19.897276,1,,,3,5a5c871aac5624000153f89e,jax0jask,,,,,0,1,your_experiment,0,309,,0,1,24,96,65,24,,,1,1,309,,3,15,8,6,2,4,3,1,3,3,3,4,2,8,7,8,8,8,8,,,Right,,1,1,309,,0,1,1,309,,0,1,1,1000 sample
90,p9cmiy2x,5654a29404212700104a1d0e,0,19,20,end,End,2025-12-18 18:13:32.747193,1,,,3,5654a29404212700104a1d0e,jax0jask,,,,,0,1,your_experiment,0,314,,0,1,23,23,56,23,,,1,1,314,,3,15,8,6,2,3,3,1,3,3,3,2,4,4,7,6,2,2,8,,,Left,,1,1,314,,0,1,1,314,,0,1,1,1000 sample
91,fwyb1hrl,651b248f38b41702c994df1d,0,18,20,main,Code,2025-12-18 18:13:42.364981,1,,,2,651b248f38b41702c994df1d,jax0jask,,,,,0,1,your_experiment,0,320,,0,1,33,54,64,33,,,1,1,320,,2,10,8,7,2,3,3,1,3,3,3,2,6,2,5,2,8,8,8,,,Right,,1,1,320,,0,1,1,320,,0,1,1,1000 sample
92,8m79ewyd,67d18f41f2533fd38b55a10f,0,19,20,end,End,2025-12-18 18:13:46.634702,1,,,3,67d18f41f2533fd38b55a10f,jax0jask,,,,,0,1,your_experiment,0,321,,0,1,7,84,41,7,,,1,1,321,,3,14,8,3,2,3,3,2,3,3,8,8,8,8,8,8,8,8,8,,,Right,,1,1,321,,0,1,1,321,,0,1,1,1000 sample
93,jv0l2a3g,5ebaa6dd28b52b000c94b78c,0,19,20,end,End,2025-12-18 18:13:53.633601,1,,,1.5,5ebaa6dd28b52b000c94b78c,jax0jask,,,,,0,1,your_experiment,0,322,,0,1,48,54,13,48,,,1,1,322,,1.5,9,8,7,2,4,3,1,3,3,3,4,8,5,4,8,8,8,8,,,Right,,1,1,322,,0,1,1,322,,0,1,1,1000 sample
94,w7gma9bk,5bcc98d1db645700015222b5,0,19,20,end,End,2025-12-18 18:13:55.290784,1,,,1.5,5bcc98d1db645700015222b5,jax0jask,,,,,0,1,your_experiment,0,323,,0,1,97,25,12,97,,,1,1,323,,1.5,9,8,7,2,1,3,1,3,3,3,2,6,2,8,2,8,8,8,,,Right,,1,1,323,,0,1,1,323,,0,1,1,1000 sample
95,n8kn3yjm,5eaec18fbb7b8901200d16dd,0,19,20,end,End,2025-12-18 18:13:55.559985,1,,,2,5eaec18fbb7b8901200d16dd,jax0jask,,,,,0,1,your_experiment,0,324,,0,1,51,10,40,51,,,1,1,324,,2,10,8,6,2,2,3,1,3,3,3,4,4,4,6,2,8,8,8,,,Left,,1,1,324,,0,1,1,324,,0,1,1,1000 sample
96,4fdkrf9v,5f1833a16e55c522eeaf4dbe,0,19,20,end,End,2025-12-18 18:14:02.598089,1,,,3,5f1833a16e55c522eeaf4dbe,jax0jask,,,,,0,1,your_experiment,0,328,,0,1,48,8,11,48,,,1,1,328,,3,15,8,5,2,1,3,2,3,5,3,2,4,4,8,1,1,7,8,,,Right,,1,1,328,,0,1,1,328,,0,1,1,1000 sample
97,mld3n56t,67052378deb1622c6e3d711a,0,19,20,end,End,2025-12-18 18:14:24.159035,1,,,1.5,67052378deb1622c6e3d711a,jax0jask,,,,,0,1,your_experiment,0,336,,0,1,15,71,70,15,,,1,1,336,,1.5,9,8,6,2,4,3,2,3,3,3,4,6,4,8,8,8,8,8,,,Right,,1,1,336,,0,1,1,336,,0,1,1,1000 sample
98,f4dmv67d,5b0e9dabee290600010f63ad,0,19,20,end,End,2025-12-18 18:14:30.544306,1,,,3,5b0e9dabee290600010f63ad,jax0jask,,,,,0,1,your_experiment,0,338,,0,1,25,73,5,25,,,1,1,338,,3,12,8,6,2,2,3,1,3,3,7,4,3,4,3,4,3,7,4,,,Right,,1,1,338,,0,1,1,338,,0,1,1,1000 sample
99,s1kty0xu,60d47ef42ed2b058bff226a2,0,19,20,end,End,2025-12-18 18:14:40.889802,1,,,3,60d47ef42ed2b058bff226a2,jax0jask,,,,,0,1,your_experiment,0,340,,0,1,9,66,90,9,,,1,1,340,,3,12,8,5,2,1,3,1,3,5,7,8,8,8,8,8,8,8,8,,,Left,,1,1,340,,0,1,1,340,,0,1,1,1000 sample
100,z98wbaad,5ca5fb084f3e9d0015440d1d,0,19,20,end,End,2025-12-18 18:14:54.265826,1,,,3,5ca5fb084f3e9d0015440d1d,jax0jask,,,,,0,1,your_experiment,0,342,,0,1,90,24,81,90,,,1,1,342,,3,15,8,7,2,1,3,1,3,3,3,4,8,8,8,8,8,8,8,,,Right,,1,1,342,,0,1,1,342,,0,1,1,1000 sample
101,xnggymo2,673375095534faa4b446447d,0,19,20,end,End,2025-12-18 18:15:03.169753,1,,,3,673375095534faa4b446447d,jax0jask,,,,,0,1,your_experiment,0,345,,0,1,25,83,31,25,,,1,1,345,,3,12,8,5,2,3,3,1,3,5,3,5,8,4,7,7,7,7,7,,,Right,,1,1,345,,0,1,1,345,,0,1,1,1000 sample
102,z0snunzm,5cd310705882710018e544b0,0,19,20,end,End,2025-12-18 18:15:07.568855,1,,,2,5cd310705882710018e544b0,jax0jask,,,,,0,1,your_experiment,0,346,,0,1,48,87,59,48,,,1,1,346,,2,10,8,4,3,1,1,1,3,1,3,6,4,8,8,8,8,8,8,,,Left,,1,1,346,,0,1,1,346,,0,1,1,1000 sample
103,8hdxnot3,634813a4c6504dfca1a5f58f,0,19,20,end,End,2025-12-18 18:15:11.100005,1,,,2,634813a4c6504dfca1a5f58f,jax0jask,,,,,0,1,your_experiment,0,348,,0,1,3,58,35,3,,,1,1,348,,2,10,8,4,2,4,3,1,3,3,5,1,3,8,8,8,8,8,8,,,Left,,1,1,348,,0,1,1,348,,0,1,1,1000 sample
104,7lq4ecx4,655e0a82d5d2084400745459,0,19,20,end,End,2025-12-18 18:15:14.215590,1,,,1.5,655e0a82d5d2084400745459,jax0jask,,,,,0,1,your_experiment,0,351,,0,1,41,57,8,41,,,1,1,351,,1.5,9,8,4,2,3,3,1,2,3,3,2,2,3,2,7,7,8,2,,,Right,,1,1,351,,0,1,1,351,,0,1,1,1000 sample
105,4l7kc15w,5641193817bdbe00122a0f23,0,19,20,end,End,2025-12-18 18:15:20.585449,1,,,3,5641193817bdbe00122a0f23,jax0jask,,,,,0,1,your_experiment,0,352,,0,1,26,62,30,26,,,1,1,352,,3,15,8,3,3,2,1,3,3,8,3,2,6,4,2,1,2,6,7,,,Left,,1,1,352,,0,1,1,352,,0,1,1,1000 sample
106,qunyrjrg,5a4cc0ecac413f0001e60aa3,0,19,20,end,End,2025-12-18 18:15:26.762225,1,,,2,5a4cc0ecac413f0001e60aa3,jax0jask,,,,,0,1,your_experiment,0,354,,0,1,82,0,85,82,,,1,1,354,,2,10,8,8,2,1,3,1,3,1,3,4,6,4,7,8,8,8,8,,,Left,,1,1,354,,0,1,1,354,,0,1,1,1000 sample
107,y8qdqgmg,5a7cb83a000dab00018c530b,0,19,20,end,End,2025-12-18 18:15:41.589892,1,,,3,5a7cb83a000dab00018c530b,jax0jask,,,,,0,1,your_experiment,0,356,,0,1,65,81,39,65,,,1,1,356,,3,12,8,7,2,1,3,1,3,1,5,4,6,2,3,5,3,4,8,,,Left,,1,1,356,,0,1,1,356,,0,1,1,1000 sample
108,7j5hjcrj,66620cf0297a4b3c61f5a8ee,0,19,20,end,End,2025-12-18 18:15:51.342905,1,,,2.5,66620cf0297a4b3c61f5a8ee,jax0jask,,,,,0,1,your_experiment,0,357,,0,1,89,51,53,89,,,1,1,357,,2.5,11,8,5,3,2,3,1,3,3,3,4,4,8,1,8,8,8,8,,,Right,,1,1,357,,0,1,1,357,,0,1,1,1000 sample
109,27v3skrc,5f20817e92b4d83793b52912,0,19,20,end,End,2025-12-18 18:15:54.569705,1,,,2.5,5f20817e92b4d83793b52912,jax0jask,,,,,0,1,your_experiment,0,359,,0,1,50,79,15,50,,,1,1,359,,2.5,11,8,6,2,1,3,1,3,3,3,2,8,8,8,8,8,8,8,,,Right,,1,1,359,,0,1,1,359,,0,1,1,1000 sample
110,furs0bmv,5fc1453b3582c11583752a29,0,19,20,end,End,2025-12-18 18:16:04.049086,1,,,1.5,5fc1453b3582c11583752a29,jax0jask,,,,,0,1,your_experiment,0,361,,0,1,76,69,76,76,,,1,1,361,,1.5,9,8,7,2,1,3,1,3,3,3,4,8,8,8,8,8,8,8,,,Right,,1,1,361,,0,1,1,361,,0,1,1,1000 sample
111,vlo1tp9o,616ab38422e8cf63905eec70,0,19,20,end,End,2025-12-18 18:16:08.682955,1,,,1.5,616ab38422e8cf63905eec70,jax0jask,,,,,0,1,your_experiment,0,362,,0,1,36,63,52,36,,,1,1,362,,1.5,9,8,3,2,4,3,3,3,3,6,1,8,2,7,2,4,6,8,,,Right,,1,1,362,,0,1,1,362,,0,1,1,1000 sample
112,biwywqi6,6483446c7d1a659e10ffb682,0,19,20,end,End,2025-12-18 18:16:17.738966,1,,,1.5,6483446c7d1a659e10ffb682,jax0jask,,,,,0,1,your_experiment,0,368,,0,1,77,61,100,77,,,1,1,368,,1.5,9,8,4,2,4,1,2,3,1,3,4,7,8,8,8,8,8,8,,,Right,,1,1,368,,0,1,1,368,,0,1,1,1000 sample
113,4cyql7q6,66d20f7f74d51c4de3cf0cce,0,19,20,end,End,2025-12-18 18:16:18.483247,1,,,3,66d20f7f74d51c4de3cf0cce,jax0jask,,,,,0,1,your_experiment,0,369,,0,1,92,55,100,92,,,1,1,369,,3,12,8,7,2,1,3,1,3,1,3,4,3,4,7,8,8,8,8,,,Right,,1,1,369,,0,1,1,369,,0,1,1,1000 sample
114,ttvgkdtz,5fb551ccab996500099ab1aa,0,19,20,end,End,2025-12-18 18:16:27.004666,1,,,2.5,5fb551ccab996500099ab1aa,jax0jask,,,,,0,1,your_experiment,0,370,,0,1,94,92,26,94,,,1,1,370,,2.5,11,8,6,2,1,3,1,3,3,3,8,8,8,8,8,8,8,8,,,Left,,1,1,370,,0,1,1,370,,0,1,1,1000 sample
115,ms775i0l,5dee651e58776a51569d31f3,0,19,20,end,End,2025-12-18 18:16:34.889463,1,,,3,5dee651e58776a51569d31f3,jax0jask,,,,,0,1,your_experiment,0,372,,0,1,17,37,33,17,,,1,1,372,,3,14,8,6,2,1,3,1,3,3,3,2,2,4,2,8,8,8,8,,,Right,,1,1,372,,0,1,1,372,,0,1,1,1000 sample
116,tnhy62ct,5ffcb7ca44be0316fac888e7,0,18,20,main,Code,2025-12-18 18:16:37.237137,1,,,2.5,5ffcb7ca44be0316fac888e7,jax0jask,,,,,0,1,your_experiment,0,373,,0,1,0,72,73,0,,,1,1,373,,2.5,11,8,8,2,1,3,1,3,5,3,4,6,8,8,8,8,8,8,,,Right,,1,1,373,,0,1,1,373,,0,1,1,1000 sample
117,n0ogqi1n,644805884189b40893adfa53,0,19,20,end,End,2025-12-18 18:16:49.730588,1,,,2,644805884189b40893adfa53,jax0jask,,,,,0,1,your_experiment,0,378,,0,1,24,47,68,24,,,1,1,378,,2,10,8,5,2,3,3,1,3,1,3,2,4,2,8,8,8,8,8,,,Left,,1,1,378,,0,1,1,378,,0,1,1,1000 sample
118,vcpsemp6,676083fbda0965892553cd66,0,19,20,end,End,2025-12-18 18:16:55.023107,1,,,2.5,676083fbda0965892553cd66,jax0jask,,,,,0,1,your_experiment,0,382,,0,1,17,64,68,17,,,1,1,382,,2.5,11,8,3,2,3,3,2,3,5,2,7,3,3,4,8,3,7,8,,,Right,,1,1,382,,0,1,1,382,,0,1,1,1000 sample
119,8c418nsr,5c96a15a0225a000147bbd44,0,19,20,end,End,2025-12-18 18:16:55.554985,1,,,3,5c96a15a0225a000147bbd44,jax0jask,,,,,0,1,your_experiment,0,383,,0,1,53,70,97,53,,,1,1,383,,3,12,8,7,2,1,3,1,3,1,3,5,6,4,8,8,8,8,8,,,Right,,1,1,383,,0,1,1,383,,0,1,1,1000 sample
120,sifv5k2u,59d8d3aeea41450001ec79b0,0,19,20,end,End,2025-12-18 18:17:15.185025,1,,,2,59d8d3aeea41450001ec79b0,jax0jask,,,,,0,1,your_experiment,0,387,,0,1,50,48,50,50,,,1,1,387,,2,10,8,5,2,3,3,1,3,1,3,3,8,8,8,8,8,8,8,,,Right,,1,1,387,,0,1,1,387,,0,1,1,1000 sample
121,nghuwgr1,6672fb66728df1edb72c1568,0,19,20,end,End,2025-12-18 18:17:20.422590,1,,,2,6672fb66728df1edb72c1568,jax0jask,,,,,0,1,your_experiment,0,390,,0,1,5,40,40,5,,,1,1,390,,2,10,8,7,2,1,3,1,3,3,3,2,6,8,8,8,8,8,8,,,Right,,1,1,390,,0,1,1,390,,0,1,1,1000 sample
122,i41aducy,5ca47157f25b0e00016a3e10,0,19,20,end,End,2025-12-18 18:17:43.877358,1,,,3,5ca47157f25b0e00016a3e10,jax0jask,,,,,0,1,your_experiment,0,395,,0,1,51,3,72,51,,,1,1,395,,3,15,8,9,2,1,3,1,3,1,3,5,1,7,5,2,2,4,4,,,Right,,1,1,395,,0,1,1,395,,0,1,1,1000 sample
123,yxlicmmv,65ccc7e766127e24c9e313a2,0,19,20,end,End,2025-12-18 18:17:48.729875,1,,,1.5,65ccc7e766127e24c9e313a2,jax0jask,,,,,0,1,your_experiment,0,397,,0,1,91,59,30,91,,,1,1,397,,1.5,9,8,5,2,4,3,1,3,3,3,2,7,4,4,8,8,8,8,,,Right,,1,1,397,,0,1,1,397,,0,1,1,1000 sample
124,vvqg98s7,669053bbebafdd430e770142,0,19,20,end,End,2025-12-18 18:17:59.717538,1,,,3,669053bbebafdd430e770142,jax0jask,,,,,0,1,your_experiment,0,400,,0,1,82,54,42,82,,,1,1,400,,3,12,8,6,2,1,3,1,3,1,3,2,8,8,8,8,8,8,8,,,Right,,1,1,400,,0,1,1,400,,0,1,1,1000 sample
125,8ozs6jb1,612399c71548ff3b47e406e8,0,19,20,end,End,2025-12-18 18:18:18.762111,1,,,2.5,612399c71548ff3b47e406e8,jax0jask,,,,,0,1,your_experiment,0,405,,0,1,2,84,40,2,,,1,1,405,,2.5,11,8,6,2,1,3,2,3,1,3,4,8,4,3,2,7,4,8,,,Left,,1,1,405,,0,1,1,405,,0,1,1,1000 sample
126,j2jwyr7h,5a513719acc75b000179bff1,0,18,20,main,Code,2025-12-18 18:18:23.756636,1,,,3,5a513719acc75b000179bff1,jax0jask,,,,,0,1,your_experiment,0,406,,0,1,13,6,58,13,,,1,1,406,,3,12,8,3,3,4,1,1,3,3,3,8,8,8,8,8,8,8,8,,,Right,,1,1,406,,0,1,1,406,,0,1,1,1000 sample
127,62gsog3v,5ba89b1b4a16920001d4582b,0,19,20,end,End,2025-12-18 18:18:43.343707,1,,,2,5ba89b1b4a16920001d4582b,jax0jask,,,,,0,1,your_experiment,0,410,,0,1,13,79,75,13,,,1,1,410,,2,10,8,4,2,4,3,1,3,3,8,8,8,8,8,8,8,8,8,,,Right,,1,1,410,,0,1,1,410,,0,1,1,1000 sample
128,mhjvgz5k,63ed0392b8b24c34aaf26310,0,19,20,end,End,2025-12-18 18:18:55.836880,1,,,3,63ed0392b8b24c34aaf26310,jax0jask,,,,,0,1,your_experiment,0,417,,0,1,19,25,88,19,,,1,1,417,,3,12,8,6,2,1,3,1,3,3,5,2,1,2,5,4,3,7,1,,,Right,,1,1,417,,0,1,1,417,,0,1,1,1000 sample
129,aqzqupdn,57ff671cb80310000163ef44,0,19,20,end,End,2025-12-18 18:19:10.818295,1,,,3,57ff671cb80310000163ef44,jax0jask,,,,,0,1,your_experiment,0,422,,0,1,15,36,14,15,,,1,1,422,,3,12,8,7,2,1,3,1,3,3,3,4,7,8,8,8,8,8,8,,,Right,,1,1,422,,0,1,1,422,,0,1,1,1000 sample
130,b0mk4bbr,5ebac8f4b855e10507cfb343,0,19,20,end,End,2025-12-18 18:19:20.810549,1,,,3,5ebac8f4b855e10507cfb343,jax0jask,,,,,0,1,your_experiment,0,427,,0,1,16,35,9,16,,,1,1,427,,3,12,8,5,2,1,3,1,3,3,5,8,8,8,8,8,8,8,8,,,Left,,1,1,427,,0,1,1,427,,0,1,1,1000 sample
131,kpidl652,5b2240df023fe3000150533f,0,19,20,end,End,2025-12-18 18:19:23.391209,1,,,2.5,5b2240df023fe3000150533f,jax0jask,,,,,0,1,your_experiment,0,429,,0,1,42,69,2,42,,,1,1,429,,2.5,11,8,4,2,2,3,1,3,8,8,8,8,8,8,8,8,8,8,,,Right,,1,1,429,,0,1,1,429,,0,1,1,1000 sample
132,oma89bve,631745a70c7c585248df1a5d,0,19,20,end,End,2025-12-18 18:19:35.723064,1,,,3,631745a70c7c585248df1a5d,jax0jask,,,,,0,1,your_experiment,0,434,,0,1,12,59,39,12,,,1,1,434,,3,13,8,7,2,2,3,1,3,4,3,4,7,4,6,3,8,6,4,,,Right,,1,1,434,,0,1,1,434,,0,1,1,1000 sample
